mp_0003c					
init					
talk_Puppis					
0x4a9	0x98	Puppis		Everywhere on the Ciencia Sea,	
				there are stories about animals	
				somewhere starting to escape.	
0x525	0x98	Puppis		...It may be possible that the "Great Flood"	
				spoke of in legends is happening.	
0x594	0x98	Puppis		Us, without wings or gills,	
				even so, have to stick to	
				land and live.	
0x620	0x98	Puppis		According to legend, the	
				surface was once destroyed	
				by a "Great Flood."	
0x687	0x98	Puppis		Us, without wings or gills,	mp_0003c 0x594
				even so, have to stick to	
				land and live.	
0x721	0x98	Puppis		Even if you fell	
				from that broken moon,	
				you'd be fine.	
0x777	0x98	Puppis		Just how high is it?	
				I can't think that if a living	
				thing fell it would be fine.	
0x7e7	0x98	Puppis		Maybe some kind	
				of god is protecting	
				you.	
0x858	0x98	Puppis		Maybe some kind	mp_0003c 0x7e7
				of god is protecting	
				you.	
0x8a1	0x98	Puppis		A god that is	
				still our ally.	
0x915	0x98	Puppis		Hey boy.	
				...You seem down.	
0x950	0x98	ALTO		Ahaha...	
				D-Does it look that way?	
0x990	0x98	NOI		C-Captain.	
				It's been awhile.	
0x9ca	0x98	Puppis		Oh, the fairy's with you.	
				There's a strange toughness	
				about you two...	
0xa30	0x98	Puppis		Hmph, well whatever.	
				I'm not that kind of guy.	
0xa7f	0x6B	ALTO		Surprise	
0xab1	0x98	ALTO		"I'm not that kind of guy."	
				...What does that mean?	
0xb03	0x98	Puppis		Well the rumor is...War finally	
				broke out on the north continent.	
0xb65	0x98	Puppis		The uneasiness over this	
				abnormal weather will	
				magnify the chaos.	
0xbc6	0x98	Puppis		The flight of the nobles at Saint	
				Cerize is in chaos too...	
				This island is more peaceful.	
0xc3f	0x98	ALTO		I-Is that so...	
				Something like a war	
				at a time like this...	
0xc98	0x98	NOI		As expected, humans are foolish.	
				I cannot understand it...	
0xcf0	0x6B	ALTO		Ellipsis	
0xd1a	0x6B	NOI		Ellipsis	
0xd4b	0x6B	Puppis		Sweatdrop	
0xd7f	0x98	Puppis		...You're making me depressed.	
0xdbf	0x98	Puppis		Forget this chat.	
				I'm not worried about the kids.	
0xe11	0x98	Puppis		The adults focused on our defense	
				are in a bit of a panic.	
0xe94	0x98	Puppis		The war is because of the neighboring	
				countries, the broken moon, and the	
				abnormal weather.	
0xf0f	0x98	Puppis		There's no way people could cause	
				a global scale disaster like this.	
				Good grief, cool your head.	
talk_Crux					
0xfd7	0x98	Crux		The truth is, it's already time to set sail, but,	
				due to the storms offshore, we can't	
				set sail.	
0x1055	0x6B	Crux		Ellipsis	
0x1087	0x98	Crux		...Somehow, this is really bad, right?	
0x10cd	0x98	Crux		If it continues like this, the storm will	
				get steadily worse and come this	
				way, and...!	
0x1142	0x6B	Crux		Sweatdrop	
0x1174	0x98	Crux		I-I might be overthinking things.	
				Hahaha...	
0x11e6	0x98	Crux		Even in a time like this,	
				the people of Remnant Island	
				won't panic...	
0x1249	0x98	Crux		Ooh, I've got to follow	
				their example a little more.	
0x12d2	0x98	Crux		That reminds me, even on Saint Cerize,	
				a huge monster appeared and is	
				causing a panic.	
0x1346	0x98	Crux		It took the full power of the	
				vigilante corps to finish it	
				off...	
0x13a5	0x98	Crux		Everywhere you look there's stories like that.	
