mp_2001b
init
ev_goal
open_door1
0x781	0x06	swt01		ANI_LEVER_ON_LOCK	
boss_battle01
0x883	0x06	mahouzin		ANI_STOP2	
0x8c4	0x6B	ALTO		Exclamation	
dead_EV01
open_door2_3
0x103b	0x07	System	#3C	Defeated High-Rank Monster [Bullet Popo]!	
0x10fc	0x06	NOI		ANI_TAMEATK1	
0x115f	0x07	System	#1C	Noi recovered the summer magic, #4C『#775IBullet Bee』#1C!	
0x11df	0xC1	System		obtained.	mp_0000 0x7558
boss_battle02
0x1357	0x6B	ALTO		Exclamation	
dead_EV02
set_jampdai01
SB_2_S16_alto_move
SB_2_S16_noi_move
EV_2_S16_big_hindrance
0x19d2	0x06	st		ANI_PATA2	
0x1aa8	0x6B	ALTO		Exclamation	
0x1ad2	0x6B	NOI		Exclamation	
0x1c08	0x06	ALTO		ANI_SURPRISE	
0x1c32	0x98	ALTO		Wh-What is that...?	
				A giant gear!?	
0x1c78	0x06	NOI		ANI_SURPRISE	
0x1ca1	0x98	NOI	#6A	Maybe it used to be part of the	
				ceiling, but it fell down...!	
0x1db0	0x06	ALTO		ANI_THINK2	
0x1dd8	0x98	ALTO		Come to think of it, I feel like	
				I've seen these gear things all	
				over the place...	
0x1e45	0x98	ALTO		Are they a part of how the	
				Mitos made this world...?	
0x1e93	0x06	ALTO		ANI_GESTURE2	
0x1ebd	0x98	ALTO		Haha, it appears that there are still	
				many more amazing devices hidden here	
				in addition to the Astrolabe.	
0x1f28	0x98	ALTO		I'd love to study	
				them all someday...	
0x1f7a	0x06	NOI		ANI_DULL	
0x1f9f	0x98	NOI	#6A	Y-Yeah...	mp_0004 0x5c94
0x200e	0x06	ALTO		ANI_SCRATCH_HEAD	
0x203c	0x98	ALTO		...Sorry. We have to concentrate	
				on finding Cygna right now, huh?	
0x2098	0x98	ALTO		First of all, the path ahead is blocked.	
				We've got to do something with this gear.
0x212e	0x06	NOI		ANI_WAIT	
0x2183	0x06	NOI		ANI_GUTSPOSE	
0x21ac	0x98	NOI	#6A	...In that case, then we're good.	
				We have Gear Buster now!	
0x2213	0x98	NOI	#6A	The power I received from	
				Geo should be able to	
				destroy this gear!	
0x227e	0x06	ALTO		ANI_JOY	
0x22a3	0x98	ALTO		Oh, that's right.	
				Let's give it a try!	
0x22fa	0x06	NOI		ANI_DEJECTED	
0x2323	0x98	NOI	#6A	...You're right.	
				We can't go on like this...	
0x237a	0x98	ALTO		Maybe we should suspend our	
				exploration of this place	
				for the time being.	
0x23d2	0x06	ALTO		ANI_GESTURE2	
0x23fc	0x98	ALTO		Should we try	
				saving Geo first?	
0x247b	0x98	NOI	#6A	Yeah, Geo might know	
				something about this...	
0x24ca	0x06	NOI		ANI_NOD	
0x24ee	0x98	NOI	#6A	Let's try going to the	
				summer of Oltapia!	
0x2540	0xCE	Objective		Next, let's help Geo in the summer of Oltapia.	
SB_2_S21_turn_ALTO
SB_2_S21_turn_NOI
EV_2_S21_look_cage_2nd
0x29e2	0x41	None	#0W#2E#029c	*sigh*... How did I get myself into this mess...?#0E	
0x2a74	0x6B	ALTO		Exclamation	
0x2aa6	0x6B	NOI		Exclamation	
0x2af4	0x98	ALTO		What was that voice...!?	
0x2b50	0x98	NOI	#6A	...Oh no!	
0x2cae	0x06	ALTO		ANI_SURPRISE_WEAK	
0x2cdd	0x98	ALTO	#6A	It's just like... the thing	
				Geo was trapped in!?	
0x2d34	0x06	NOI		ANI_GESTURE1	
0x2d5d	0x98	NOI	#6A	Eris... Eris, no way!?	
0x2db1	0x41	None	#0W#2E#029c	...Is that you, Noi?	
				Are you close?#0E	
0x2e33	0x41	None	#1W#2E#029c	Oh, good...	
				you're safe!#0E	
0x2ed0	0x98	ALTO		It sounds like... a woman.	
0x2f13	0x06	NOI		ANI_NOD	
0x2f37	0x98	NOI	#6A	Yeah, she is. It's	
				Song Maiden Erisette...	
				This continent's warden.	
0x2f9f	0x41	None	#0W#2E#029c	Oh my... What do we have here?	
				I feel an unusual presence nearby...#0E	
0x3064	0x41	None	#0W#2E#029c	...It can't be...	
				Is this the presence of a human!?#0E	
0x30f3	0x41	None	#0W#2E#029c	For Noi to be working with a human...#0E	
0x317f	0x06	ALTO		ANI_SCRATCH_HEAD	
0x31ad	0x98	ALTO	#6A	Umm, my name is Nayuta.	
				It's actually a long story...	
0x321c	0x40	UNDEF		Nayuta briefly explained what had happened so far.
0x3273	0x41	None	#0W#2E#029c	I see...	
				It seems as though the same	
				thing happened in Oltapia.#0E	
0x3315	0x41	None	#0W#2E#029c	I, too, was captured by 'Zext'	
				when I was in my temple.#0E	
0x33ab	0x41	None	#0W#2E#029c	I can't even sing in this	
				cramped and painful space...#0E	
0x344a	0x41	None	#0W#2E#029c	...And, of all things, to assume the	
				identity of the head of the Mitos...	
				Now that is truly unacceptable!#0E	
0x351a	0x06	NOI		ANI_NOD	
0x353e	0x98	NOI	#6A	Yeah... We can't just	
				let this stand.	
0x35a4	0x98	NOI	#6A	But... I suspect they plan to shut down	
				the temple of this continent as well.	
0x362c	0x98	ALTO	#6A	The circumstances are the same as before,	
				so it's more than likely to be the case.	
0x3698	0x41	None	#0W#2E#029c	...Noi, and Nayuta, was it?	
				For now, hurry up and	
				head for the temple.#0E	
0x3779	0x41	None	#0W#2E#029c	It hasn't been that long since I was caught...
				If you hurry, you'll make it in time!#0E	
0x3847	0x41	None	#0W#2E#029c	I'm entrusting everything to you guys.	
				Please, take care of this for me!#0E	
0x3919	0x06	ALTO		ANI_THANKS	
0x3941	0x98	ALTO	#6A	Leave it to us!	
0x3982	0x06	NOI		ANI_GUTSPOSE	
0x39ab	0x98	NOI	#6A	Hold on, Eris! We'll take	
				the Master Gear back and	
				get you out of there soon!	
0x3c56	0xCE	Objective		Zext went to the temple again. We gotta hurry there!	
EV_2_Sxx_break_obj
