mp_3099					
first_init					
init					
bossfirst					
0x1068	0xCE	Objective		Out of our way! Nayuta, let's finish it together!	
BossNextEvent1					
0x14f6	0x06	PLAYER1		ANI_WAIT	
0x15a3	0x06	b002Ex		ANI_WAIT	
0x16c5	0x06	b002Ex		ANI_DOWN2	
0x1b1b	0x06	PLAYER1		ANI_WAIT	
0x1bc6	0x06	b002		ANI_WAIT	
0x1ce6	0x06	b002		ANI_DOWN2	
BossNextEvent2					
0x21a4	0x06	PLAYER1		ANI_WAIT	
0x2246	0x06	b002Ex		ANI_WAIT	
0x22f4	0x06	b002Ex		ANI_DOWN3	
0x269c	0x06	PLAYER1		ANI_WAIT	
0x273e	0x06	b002		ANI_WAIT	
0x27ea	0x06	b002		ANI_DOWN3	
dead_boss					
0x2d63	0x06	PLAYER1		ANI_WAIT	
CancerAtariOn					
CancerAtariOff					
talk_Algorl					
0x33ca	0x98	Algorl		If the four wardens pool their	
				strength, then perhaps...	
0x3424	0x98	Algorl		However, you are the only ones	
				who can save Lady Creha.	
				...We are counting on you.	
0x34d2	0x98	Algorl		There seems to be a chaotic situation unfolding...	
0x3519	0x98	Algorl		However, if Creha was indeed	
				kidnapped, it's only natural	
				that you should pursue them.	
0x3593	0x98	Algorl		We will do all we are able to support you.	
				...But now, you should hurry ahead.	
0x3622	0x98	Algorl		Going through such lengths, there's no	
				mistaking that Zext must be planning	
				to use Creha for something...	
0x3698	0x98	Algorl		Hurry onwards, you two.	
0x370b	0x98	Algorl		This magic I have given to Noi	
				is a fragment of my own power. 	
				...Use it wisely.	
0x377b	0x98	Algorl		In the coming days, you will	
				face countless trials, but...	
				you must never give up.	
0x37e4	0x98	Algorl		For Terra and Lady Creha...	
				Please, take care of them.	
0x3866	0x98	Algorl		Hmm... As expected, I am currently in	
				no condition to restart this temple.	
0x38c2	0x98	Algorl		It seems that while I was imprisoned,	
				the situation grew worse by the second.	
0x3925	0x98	Algorl		...Zext. Just what	
				is he planning?	
0x3997	0x98	Algorl		...Zext. Just what	mp_3099 0x3925
				is he planning?	
talk_SpiritA					
0x3a11	0x6B	SpiritA		Exclamation	
0x3a46	0x40	UNDEF		It seems surprised...	
0x3a86	0x6B	SpiritA		Exclamation	
0x3abb	0x40	UNDEF		It seems surprised...	mp_3099 0x3a46
talk_SpiritB					
0x3b1d	0x98	SpiritB		.....	
				.....	
0x3b68	0x98	SpiritB		.....	mp_3099 0x3b1d
				.....	
0x3ba9	0x40	UNDEF		It seems to be staring at the mural...	
talk_SpiritC					
0x3c20	0x98	SpiritC		...?	mp_1099 0x3014
0x3c51	0x98	SpiritC		...㈱	
talk_SpiritD					
0x3cad	0x98	SpiritD		.....!	
				...～～...!	
0x3d4d	0x98	SpiritD		...........	
				...........	
				...～～～...	
0x3d9e	0x98	SpiritD		...?	mp_1099 0x3014
quest_Algorl					
0x3e6e	0x98	Algorl		So you have safely found	
				Nemeas' nymph...	
0x3eb9	0x98	Algorl		Hmm, it seems to be heading back to	
				Nemeas' now that it has calmed down.	
0x3f24	0x98	Algorl		I am sure Nemeas will be pleased	
				to have another nymph return.	
				For that, I give my thanks.	
0x3f98	0x98	Algorl		The life signature of Nemeas' nymph	
				is in the southwest part of Heimmel,	
				near the Canyon of Biting Wind.	
0x4025	0x98	Algorl		You might wish to search 	
				with the season set to autumn.	
0x4078	0x98	Algorl		It seems the signature is considerably	
				distraught, so you should go quickly.	
0x41cb	0x98	Algorl		The fragments of my lost power should be	
				in the form of floating pale orbs of light	
				scattered across the Origin Continent.	
0x425a	0x98	Algorl		And thus, as the power is collected,	
				light will gradually return to the jewel.	
0x42cc	0x98	Algorl		Bring the jewel back to me once	
				it shines its brightest.	
					
QS_44_quest_start					
0x454a	0x98	Algorl		I have an important favor	
				to ask of you, my friend.	
0x45a4	0x98	Algorl		How about it...?	
				Will you...help me?	
0x45ee	0x98	Algorl		...Noi...and Nayuta?	
0x4629	0x98	Algorl		I have an important	
				favor to ask of you...	
0x467c	0x06	ALTO		ANI_SURPRISE_WEAK	
0x46ab	0x98	ALTO	#6A	Huh...?	mp_0001 0x166ea
0x46d4	0x06	NOI		ANI_GESTURE2	
0x46fd	0x98	NOI	#6A	A favor to ask of us...?	
0x4729	0x98	NOI	#6A	It's unusual of you to	
				need a favor, Algol.	
				What's the matter?	
0x47a7	0x98	Algorl		It is a matter I cannot	
				accomplish on my own.	
0x4806	0x98	Algorl		What do you think...?	
				Will you help me?	
0x4888	0x36	Choice		[Accept]	mp_0000 0xeaf5
0x489e	0x36	Choice		[Quit]	mp_0000 0xeb0b
0x493d	0x06	ALTO		ANI_OJIGI	
0x4964	0x98	ALTO	#6A	Um, sorry. Now's not a good time...	
0x49a3	0x06	NOI		ANI_GESTURE1	
0x49cc	0x98	NOI	#6A	I'm sorry, Algol...	
0x4a01	0x98	Algorl		...I suppose it cannot be helped.	
				I will not ask you to do the impossible.	
QS_44_undertake					
0x4b2e	0x06	ALTO		ANI_THANKS	
0x4b56	0x98	ALTO	#6A	Yes, of course.	
				We'd be happy to help.	
0x4bbe	0x98	Algorl		...Is that so? I thank you.	
0x4c1b	0x98	Algorl		As for the request I have for you...	
				It is regarding my sealed power.	
0x4c81	0x06	NOI		ANI_GESTURE1	
0x4caa	0x98	NOI	#6A	Sealed power...?	
0x4cf3	0x98	Algorl		As you should already know, Noi...	
				I am the most combat-oriented among us wardens.	
0x4d7b	0x98	Algorl		I can easily match monsters,	
				or even one of the Mitos.	
0x4df5	0x06	ALTO		ANI_THINK2	
0x4e1d	0x98	ALTO	#6A	Certainly, even when you were sealed,	
				I could feel tremendous power from you.	
0x4e8b	0x98	NOI	#6A	Algol is normally pretty tranquil,	
				but if he gets serious, he can	
				even blow up mountains.	
0x4f1a	0x98	Algorl		Mmm, but... since I was released	
				from the prison, I've recovered	
				only part of my power.	
0x4f8f	0x98	Algorl		...It seems that Lord Selam	
				placed a second seal on me.	
0x4fe8	0x06	ALTO		ANI_SURPRISE	
0x5012	0x98	ALTO	#6A	A second seal!?	
0x5044	0x06	NOI		ANI_COMPLAIN	
0x506d	0x98	NOI	#6A	You mean, he did something	
				in addition to the prison!?	
0x50c2	0x98	Algorl		Mmm... Apparently, my power was sealed	
				and divided into three separate pieces.	
0x512d	0x98	Algorl		And subsequently transferred	
				to another continent.	
0x51a9	0x98	Algorl		I may be being overly cautious...	
				But I cannot bring forth half of	
				my true power at the moment.	
0x5215	0x98	Algorl		With time, I could gradually	
				recover my power... But that	
				would take a long time indeed.	
0x529b	0x06	NOI		ANI_DEJECTED	
0x52c4	0x98	NOI	#6A	Oh, no...	mp_0100 0x1c977
0x52ef	0x98	NOI	#6A	Now I'm worried that we won't	
				be able to rely on your power	
				to help out in times of need!	
0x536f	0x98	Algorl		I, too, deplore the current situation.	
0x53e7	0x98	Algorl		Now... I want your help	
				to recover my lost power	
				as soon as possible.	
0x544b	0x06	ALTO		ANI_GESTURE1	
0x5475	0x98	ALTO	#6A	We would be glad to help, but...	
0x54c4	0x98	ALTO	#6A	What should we do, exactly?	
0x551e	0x98	Algorl		First, I want you to take this.	
0x5585	0x06	Algorl		ANI_HANDOVER	
0x55b9	0xC1	System		obtained.	mp_0000 0x7558
0x568e	0x06	ALTO		ANI_GESTURE2	
0x56b8	0x98	ALTO	#6A	What's this...?	
				It's kind of	
				dull and gray.	
0x5703	0x98	Algorl		That is a special jewel capable	
				of housing my power as a warden.	
0x5761	0x98	Algorl		With that, I want you to gather	
				the scattered fragments of my power.	
0x57fb	0x98	Algorl		As for where my power is sealed,	
				according to the nymphs, it seems to	
				be in La Worg, the Origin Continent.	
0x5890	0x06	NOI		ANI_GESTURE2	
0x58b9	0x98	NOI	#6A	La Worg...	
				So that's where	
				Algol's power is...	
0x5900	0x06	ALTO		ANI_NOD	
0x5925	0x98	ALTO		Understood.	
				By all means, let	
				us do this for you.	
0x597a	0x06	ALTO		ANI_GESTURE2	
0x59a4	0x98	ALTO	#6A	Speaking of your power, Algol,	
				what should we look for?	
0x5a01	0x98	Algorl		My power will most likely	
				appear in the form of	
				floating pale orbs of light.	
0x5a60	0x98	Algorl		If you find one and bring it close,	
				the jewel will absorb it.	
0x5ad7	0x98	Algorl		And thus, as the power is collected,	mp_3099 0x425a
				light will gradually return to the jewel.	
0x5b49	0x98	Algorl		Bring the jewel back to me once	mp_3099 0x42cc
				it shines its brightest.	
0x5bbb	0x06	ALTO		ANI_THANKS	
0x5be3	0x98	ALTO	#6A	I see... Understood.	
0x5c30	0x98	ALTO	#6A	Well then, Noi, let's	
				do our best to find	
				all of Algol's power!	
0x5ca4	0x98	NOI	#6A	Yeah!	mp_0001 0x1174e
0x5d02	0x98	NOI	#6A	Hang on, Algol!	
				We'll get your	
				power back!	
0x5d5e	0x98	Algorl		I am in your debt, you two.	
