0x1e	mon name	森
0x3e	line	0
0x5e	line	
0x7e	line	
0xde	mon name	Popo
0xfe	line	A small monster with a pair
0x11e	line	of long antennae. Pollen
0x13e	line	adheres to its fluffy fur.
0x19e	mon name	Floral Foot
0x1be	line	A hairy ape-like monster.
0x1de	line	It mimics a flower and
0x1fe	line	stores food underground.
0x25e	mon name	Cannon Bloom
0x27e	line	Plant-like monster. Fires
0x29e	line	exploding seeds if touched
0x2be	line	to repel attackers.
0x31e	mon name	Assault Beetle
0x33e	line	Insect monster with metallic
0x35e	line	horn. Charges at high speeds
0x37e	line	to prevent prey from escaping.
0x3de	mon name	Shield Bulb
0x3fe	line	Seed monster with hard outer
0x41e	line	shell. Moves on its own to
0x43e	line	look for a good place to grow.
0x49e	mon name	Root Keeper
0x4be	line	Large forest guardian made of
0x4de	line	many layers of roots. Repels
0x4fe	line	invaders with its strong arms.
0x55e	mon name	Mir Dragon
0x57e	line	Small dragon that lives in
0x59e	line	wooded areas. Its fiery breath
0x5be	line	consumes surrounding enemies.
0x61e	mon name	Chariot
0x63e	line	Powerful autonomous tank.
0x65e	line	Spits tiny bombs and tramples
0x67e	line	surrounding wildlife.
0x6de	mon name	Duoqurois
0x6fe	line	Pair of idols guarding temple.
0x71e	line	Hits the floor with their huge
0x73e	line	arms, shaking its foundation.
0x79e	mon name	Sasquatch
0x7be	line	Wild ape-like monster. Excels
0x7de	line	at stomping attacks utilizing
0x7fe	line	its heavy body and big feet.
0x85e	mon name	Filnall
0x87e	line	This fox spins spider-like
0x89e	line	thread and lives in trees.
0x8be	line	Surprise attacks from above.
0x91e	mon name	Assembly
0x93e	line	Swarm of small insects.
0x95e	line	Able to separate to easily
0x97e	line	dodge physical attacks.
0x9de	mon name	Bullet Lily
0x9fe	line	Vicious plant monster that
0xa1e	line	shoots homing seed bullets
0xa3e	line	to infest its prey.
0xa9e	mon name	Hammer Parrot
0xabe	line	Bird with pendulum-shaped tail.
0xade	line	The power generated by its tail
0xafe	line	is not to be underestimated.
0xb5e	mon name	Pinocchion
0xb7e	line	Humanoid weapon mimicking a
0xb9e	line	tree. Fires a laser from its
0xbbe	line	mouth, penetrating enemies.
0xc1e	mon name	Armorfoot
0xc3e	line	Ape-like monster that enhanced
0xc5e	line	its defense with hard leaves.
0xc7e	line	Attacks with brute force.
0xcde	mon name	Flowerois
0xcfe	line	Dangerous plant-like monster.
0xd1e	line	Holds seeds in its petals to
0xd3e	line	release them all at once.
0xd9e	mon name	Gathermoth
0xdbe	line	Swarm of countless moths.
0xdde	line	Can dodge attacks as well as
0xdfe	line	spread a toxic powder.
0xe5e	mon name	Skyrave
0xe7e	line	Golden insect monster. It
0xe9e	line	thrusts its steel horn in the
0xebe	line	air as it charges.
0xf1e	mon name	Garupus
0xf3e	line	Strange monster that is a mix
0xf5e	line	of a raptor and a carnivorous
0xf7e	line	mammal. Kicks from above.
0xfde	mon name	Antelopus
0xffe	line	Ancient monster. By muttering
0x101e	line	a curse, it produces small
0x103e	line	black holes from thin air.
0x109e	mon name	Yeti
0x10be	line	Ape monster with white fur.
0x10de	line	Able to run through snowy
0x10fe	line	mountains at terrific speeds.
0x115e	mon name	Blade Rose
0x117e	line	Seemingly a beautiful rose. It
0x119e	line	hides blades under its leaves
0x11be	line	that tear anything to pieces.
0x121e	mon name	Defender
0x123e	line	Strange spider-like monster
0x125e	line	with shields on its four limbs.
0x127e	line	Its defense is hard to break.
0x12de	mon name	Crosstail
0x12fe	line	Mischievous fox monster. Hangs
0x131e	line	in trees with strong thread
0x133e	line	to toy with its prey.
0x139e	mon name	Werecat
0x13be	line	A feline beastman.
0x13de	line	Uses agile footwork to
0x13fe	line	attack with sharp claws.
0x145e	mon name	Helmouth Snake
0x147e	line	Ferocious reptile monster. It
0x149e	line	beams cold air on its prey,
0x14be	line	halting their movements.
0x151e	mon name	洞窟
0x153e	line	0
0x155e	line	
0x157e	line	
0x15de	mon name	Neon Popo
0x15fe	line	Monster with a luminous body.
0x161e	line	It feeds on microorganisms
0x163e	line	attracted to its light.
0x169e	mon name	Pescado
0x16be	line	Amphibian monster that evolved
