0x1e	mon name	森
0x3e	line	0
0x5e	line	
0x7e	line	
0xde	mon name	Popo
0xfe	line	A pair of long tentacles
0x11e	line	is its special feature.
0x13e	line	Pollen is attached to fur.
0x19e	mon name	Floral Foot
0x1be	line	Monkey monster covered in fur.
0x1de	line	It blends with its environment
0x1fe	line	feeding underground.
0x25e	mon name	Cannon Bloom
0x27e	line	Plant monster.
0x29e	line	Fires exploding seeds if
0x2be	line	touched, repelling invaders.
0x31e	mon name	Assault Beetle
0x33e	line	Insect monster with metal horn.
0x35e	line	Charges with high speed, and
0x37e	line	won't let its prey escape.
0x3de	mon name	Shield Bulb
0x3fe	line	Seed monster with hard outer
0x41e	line	shell. Searches for a good
0x43e	line	place to grow with own legs.
0x49e	mon name	Root Keeper
0x4be	line	Large forest guardian made of
0x4de	line	many root layers. Repels
0x4fe	line	invaders with its strong arms.
0x55e	mon name	Mir Dragon
0x57e	line	Small dragon that lives in
0x59e	line	wooded areas. Its flame breath
0x5be	line	burns the surroundings.
0x61e	mon name	Chariot
0x63e	line	Powerful automatic tank.
0x65e	line	Spits tiny bombs and
0x67e	line	tramples surroundings.
0x6de	mon name	Duoqurois
0x6fe	line	Idol protecting the temple.
0x71e	line	Hits the ground with its large
0x73e	line	arms, and shakes foes' footing.
0x79e	mon name	Sasquatch
0x7be	line	Wild monkey monster. Trample
0x7de	line	attacks are its specialty using
0x7fe	line	its large feet and weight.
0x85e	mon name	Filnall
0x87e	line	This fox spins spider-like
0x89e	line	thread and lives in trees.
0x8be	line	Suprise attacks from above.
0x91e	mon name	Assembly
0x93e	line	Assembly of small insects.
0x95e	line	Physical attacks miss easily
0x97e	line	because of their separation.
0x9de	mon name	Bullet Lily
0x9fe	line	Vicious monster whose tracking
0xa1e	line	bomb seeds grow inside of
0xa3e	line	defeated enemies.
0xa9e	mon name	Hammer Parrot
0xabe	line	Bird with pendulum tail. Do
0xade	line	not make light the force of
0xafe	line	its spinning tail.
0xb5e	mon name	Pinnochion
0xb7e	line	Humanoid weapon mimicking a
0xb9e	line	tree. Fires a laser from its
0xbbe	line	mouth, drilling into enemies.
0xc1e	mon name	Armor Foot
0xc3e	line	Monkey with high defense
0xc5e	line	power clad in hardened leaves.
0xc7e	line	Attack with all your might.
0xcde	mon name	Flower Roy
0xcfe	line	Dangerous plant. Holds many
0xd1e	line	seeds within its petals, and
0xd3e	line	releases them all at once.
0xd9e	mon name	Gathermoth
0xdbe	line	Assembly of countless moths.
0xdde	line	On top of dodging blows,
0xdfe	line	spreads a deadly poison powder.
0xe5e	mon name	Skyrave
0xe7e	line	Gold insect monster. Charges
0xe9e	line	from a glide, penetrating its
0xebe	line	steel horn deeply.
0xf1e	mon name	Gurupus
0xf3e	line	Strange monster that is a bird
0xf5e	line	of prey and a carnivore. Swoops
0xf7e	line	and kicks are its threats.
0xfde	mon name	Antelopus
0xffe	line	Ancient monster that mutters
0x101e	line	curses, producing small-scale
0x103e	line	black holes from thin air.
0x109e	mon name	Yeti
0x10be	line	Monkey wrapped in white fur.
0x10de	line	Runs fast in snowy mountains,
0x10fe	line	threaning with terrible speed.
0x115e	mon name	Blade Rose
0x117e	line	At a glance a rose, it hides
0x119e	line	blades that, if touched, will
0x11be	line	tear you apart.
0x121e	mon name	Defender
0x123e	line	Strange spider with four
0x125e	line	shields as limbs. Do not make
0x127e	line	light of its defense power.
0x12de	mon name	Cross Tail
0x12fe	line	Mischievous lovable fox. Hangs
0x131e	line	in trees with strong thread.
0x133e	line	Plays with its prey.
0x139e	mon name	War Cat
0x13be	line	Furry with cat features.
0x13de	line	Unleashes swift movements
0x13fe	line	and sharp claws.
0x145e	mon name	Helm Snake
0x147e	line	Ferocious reptile.
0x149e	line	Exposes its prey to cold,
0x14be	line	sealing their movements.
0x151e	mon name	洞窟
0x153e	line	0
0x155e	line	
0x157e	line	
0x15de	mon name	Neon Popo
0x15fe	line	Monster with luminous body.
0x161e	line	Lives by eating light-
0x163e	line	producing microbes.
0x169e	mon name	Pescado
0x16be	line	Amphibian that evolved to hunt
0x16de	line	land animals. Its tough jaw
0x16fe	line	can eat even boulders.
0x175e	mon name	Air Jelly
